stage,feature,perm_importance
stage1,num__048_Right Hippocampus__pct,0.0010593810383639156
stage1,num__049_Left Hippocampus__pct,-0.0011232792470409092
stage1,num__117_Right Ent entorhinal area__pct,0.00035433457024033335
stage1,num__118_Left Ent entorhinal area__pct,0.010424600141016371
stage1,num__171_Right PHG parahippocampal gyrus__pct,0.008841748437810316
stage1,num__172_Left PHG parahippocampal gyrus__pct,0.0026205455944616207
stage1,num__155_Right MTG middle temporal gyrus__pct,0.003969450885146419
stage1,num__156_Left MTG middle temporal gyrus__pct,0.004625202223781555
stage1,num__133_Right ITG inferior temporal gyrus__pct,0.007899673150275555
stage1,num__134_Left ITG inferior temporal gyrus__pct,0.0030843308409407633
stage1,num__201_Right STG superior temporal gyrus__pct,0.0038550140385822163
stage1,num__202_Left STG superior temporal gyrus__pct,0.0015803644786977155
stage1,num__123_Right FuG fusiform gyrus__pct,0.0015230088236320104
stage1,num__124_Left FuG fusiform gyrus__pct,0.006148383596931761
stage1,num__203_Right TMP temporal pole__pct,0.003649618507545016
stage1,num__204_Left TMP temporal pole__pct,0.008065950544963873
stage1,num__167_Right PCgG posterior cingulate gyrus__pct,0.007530134344292905
stage1,num__168_Left PCgG posterior cingulate gyrus__pct,0.0030762616236237215
stage1,num__169_Right PCu precuneus__pct,0.0012902256111993137
stage1,num__170_Left PCu precuneus__pct,0.002330428490553249
stage1,num__199_Right SPL superior parietal lobule__pct,0.004668921201043985
stage1,num__200_Left SPL superior parietal lobule__pct,0.00318545935400093
stage1,num__197_Right SOG superior occipital gyrus__pct,0.006055183598774594
stage1,num__198_Left SOG superior occipital gyrus__pct,0.0069723666562825914
stage1,num__145_Right MOG middle occipital gyrus__pct,0.0033077287454667315
stage1,num__146_Left MOG middle occipital gyrus__pct,0.0008277891577917363
stage1,num__129_Right IOG inferior occipital gyrus__pct,0.0021650029763906065
stage1,num__130_Left IOG inferior occipital gyrus__pct,0.0026793470186358913
stage1,num__052_Right Lateral Ventricle__pct,0.004781385349593703
stage1,num__053_Left Lateral Ventricle__pct,0.007110814329209225
stage1,num__050_Right Inf Lat Vent__pct,0.0255497798549252
stage1,num__051_Left Inf Lat Vent__pct,0.009775545307190714
stage1,num__Brain_Left_0_Frontal_0__pct,0.0012802072125624342
stage1,num__Brain_Left_0_Frontal_1__pct,0.0026779754173953175
stage1,num__Brain_Left_0_Frontal_2__pct,0.0023867945902284913
stage1,num__Brain_Left_0_Frontal_99__pct,0.004045985027689736
stage1,num__Brain_Left_1_Temporal_3__pct,0.008571340873041334
stage1,num__Brain_Left_1_Temporal_4__pct,0.002095169687245946
stage1,num__Brain_Left_1_Temporal_99__pct,0.000290214518941545
stage1,num__Brain_Left_2_Parietal_5__pct,0.001071541730670933
stage1,num__Brain_Left_2_Parietal_6__pct,0.004491700893519124
stage1,num__Brain_Left_2_Parietal_99__pct,0.006066913625058368
stage1,num__Brain_Left_3_Occipital_7__pct,0.0019207631239634426
stage1,num__Brain_Left_3_Occipital_8__pct,0.0038968641257352997
stage1,num__Brain_Left_4_DeepNuclei_9__pct,0.006851767132709718
stage1,num__Brain_Left_4_DeepNuclei_10__pct,0.0011973199480062701
stage1,num__Brain_Left_4_DeepNuclei_99__pct,0.01073529393686391
stage1,num__Brain_Left_99_nan_99__pct,0.0018526035862139855
stage1,num__Brain_Medial_99_nan_99__pct,0.0038761298278854215
stage1,num__Brain_Right_0_Frontal_0__pct,0.0026930482022800685
stage1,num__Brain_Right_0_Frontal_1__pct,0.002755726663850366
stage1,num__Brain_Right_0_Frontal_2__pct,0.000601533973397006
stage1,num__Brain_Right_0_Frontal_99__pct,0.0048429659696545444
stage1,num__Brain_Right_1_Temporal_3__pct,0.0018393083968898493
stage1,num__Brain_Right_1_Temporal_4__pct,0.0027284823522505273
stage1,num__Brain_Right_1_Temporal_99__pct,3.3631181023396906e-07
stage1,num__Brain_Right_2_Parietal_5__pct,0.001973736840831297
stage1,num__Brain_Right_2_Parietal_6__pct,0.003139873877177857
stage1,num__Brain_Right_2_Parietal_99__pct,0.0023535392946570253
stage1,num__Brain_Right_3_Occipital_7__pct,0.003294248480143802
stage1,num__Brain_Right_3_Occipital_8__pct,0.004663858255757802
stage1,num__Brain_Right_4_DeepNuclei_9__pct,0.028544610766747837
stage1,num__Brain_Right_4_DeepNuclei_10__pct,0.0022565939757594466
stage1,num__Brain_Right_4_DeepNuclei_99__pct,0.011686424549512898
stage1,num__Brain_Right_99_nan_99__pct,0.0038497734990551647
stage1,num__Brain_Left_0_Frontal_0_2__pct,0.0033745225763801567
stage1,num__Brain_Left_0_Frontal_1_2__pct,0.003224502802728413
stage1,num__Brain_Left_0_Frontal_2_2__pct,0.004482767121008979
stage1,num__Brain_Left_0_Frontal_99_2__pct,0.002609099853453145
stage1,num__Brain_Left_1_Temporal_3_2__pct,7.675658812813512e-05
stage1,num__Brain_Left_1_Temporal_4_2__pct,0.00037593580297797804
stage1,num__Brain_Left_1_Temporal_99_2__pct,0.0022252148890849035
stage1,num__Brain_Left_2_Parietal_5_2__pct,0.0005895350610420125
stage1,num__Brain_Left_2_Parietal_6_2__pct,0.00182860553036569
stage1,num__Brain_Left_2_Parietal_99_2__pct,0.002026449854768619
stage1,num__Brain_Left_3_Occipital_7_2__pct,0.01068600856155304
stage1,num__Brain_Left_3_Occipital_8_2__pct,0.003770372276203704
stage1,num__Brain_Left_4_DeepNuclei_9_2__pct,0.0026558026380652856
stage1,num__Brain_Left_4_DeepNuclei_10_2__pct,0.004315203472456031
stage1,num__Brain_Left_4_DeepNuclei_99_2__pct,0.002450012044465144
stage1,num__Brain_Left_99_99__pct,0.0039354010367180555
stage1,num__Brain_Medial_99_99__pct,0.001608805503607913
stage1,num__Brain_Right_0_Frontal_0_2__pct,0.003998341543587547
stage1,num__Brain_Right_0_Frontal_1_2__pct,0.0010937568552852218
stage1,num__Brain_Right_0_Frontal_2_2__pct,0.002116489333432936
stage1,num__Brain_Right_0_Frontal_99_2__pct,0.002717769916393964
stage1,num__Brain_Right_1_Temporal_3_2__pct,-3.847452472178769e-05
stage1,num__Brain_Right_1_Temporal_4_2__pct,2.575055461597753e-05
stage1,num__Brain_Right_1_Temporal_99_2__pct,0.0017639851251021077
stage1,num__Brain_Right_2_Parietal_5_2__pct,0.0012634134859607848
stage1,num__Brain_Right_2_Parietal_6_2__pct,0.001105573728871101
stage1,num__Brain_Right_2_Parietal_99_2__pct,0.003136792417763612
stage1,num__Brain_Right_3_Occipital_7_2__pct,0.005639229217930764
stage1,num__Brain_Right_3_Occipital_8_2__pct,0.001414371440377682
stage1,num__Brain_Right_4_DeepNuclei_9_2__pct,0.0051154684022472145
stage1,num__Brain_Right_4_DeepNuclei_10_2__pct,0.00403913876534826
stage1,num__Brain_Right_4_DeepNuclei_99_2__pct,0.002498190799574129
stage1,num__Brain_Right_99_99__pct,0.004045937559259971
stage1,num__MTL_total_pct,-0.00046195726780542403
stage1,num__Temporal_lateral_total_pct,0.0039033964825514467
stage1,num__Medial_parietal_total_pct,0.002250220730514285
stage1,num__Posterior_total_pct,0.0006278419354082354
stage1,num__Ventricles_total_pct,0.007134035629009694
stage1,num__LI_PCgG,0.002481838321896468
stage1,num__LI_PCu,0.008046699226402665
stage1,num__LI_MTG,0.005830025516759674
stage1,num__LI_ITG,0.004099327822357013
stage1,num__LI_STG,0.006879943065443273
stage1,num__asthma,-2.5609189208219972e-05
stage1,num__falls,-2.1411403198745572e-05
stage1,num__hypertension,6.407362013591822e-05
stage1,num__Cerebrovascular_accident,0.0251374688161489
stage1,num__Epilepsy,0.0006576389303952323
stage1,num__Diabetes_mellitus,-0.0004402082803032892
stage1,num__Chronic_kidney_disease,0.0003971997953946538
stage1,num__Psoriasis,2.1351181267270646e-05
stage1,num__Parkinsons_disease,0.0005253810937704828
stage1,num__Multiple_sclerosis,0.0
stage1,num__Eczema,0.0007173613552222014
stage1,num__Hypertensive_disorder,0.00077294880052865
stage1,num__Transient_ischemic_attack,0.0036625986259230304
stage1,num__Migraine,0.0008200477560154851
stage1,num__Chronic_obstructive_lung_disease,0.002182770998368533
stage1,num__Arthritis,0.0
stage1,num__Heart_failure,0.0004697823530733891
stage1,num__Asthma,-0.00011515362538235818
stage1,num__Ischemic_heart_disease,0.0024089522030954157
stage1,num__Inflammatory_bowel_disease,2.5754621968832046e-05
stage1,num__Atrial_fibrillation,0.0
stage1,num__Chronic_liver_disease,1.71132496604276e-05
stage1,num__Chronic_sinusitis,0.0
stage1,num__Coronary_arteriosclerosis,1.7114247070570965e-05
stage1,num__age,0.01205028931194948
stage1,num__MMSE,0.014036294799582428
stage1,cat__Gender_ID_Female,0.004428449288149195
stage1,cat__Gender_ID_Male,0.0
stage2,num__wmh_icv_pct,0.18600238436667005
stage2,num__wmh_log_icv,0.01217244148068387
stage2,num__wmh_missing,0.005885073146772235
stage2,num__hypertension,0.010436176217240512
stage2,num__Hypertensive_disorder,0.01639682488878357
stage2,num__Diabetes_mellitus,0.008565831266777901
stage2,num__Atrial_fibrillation,0.003570939696828679
stage2,num__Ischemic_heart_disease,0.01032674149783106
stage2,num__Cerebrovascular_accident,0.023924504252685143
stage2,num__Transient_ischemic_attack,0.008192544368523203
stage2,num__Heart_failure,0.0020983410170918202
stage2,num__Coronary_arteriosclerosis,0.002526206999651426
stage2,num__age,0.0
stage2,cat__Gender_ID_Female,0.006707564447073311
stage2,cat__Gender_ID_Male,0.0013288938077661073
